"","scientificNameVerbatim","traitNameVerbatim","NumberOfRecords","OTNdatasetID","curator","accessDate"
"1","Acalypta nigrina","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"2","Acalypta nigrina","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"3","Acalypta nigrina","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"4","Acalypta nigrina","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"5","Acalypta nigrina","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"6","Acalypta nigrina","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"7","Acalypta nigrina","Feeding_tissue",1,"arthropod-species-traits","alexander-keller",2022-08-09
"8","Acalypta nigrina","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"9","Acalypta nigrina","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"10","Acalypta parvula","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"11","Acalypta parvula","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"12","Acalypta parvula","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"13","Acalypta parvula","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"14","Acalypta parvula","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"15","Acalypta parvula","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"16","Acalypta parvula","Feeding_tissue",1,"arthropod-species-traits","alexander-keller",2022-08-09
"17","Acalypta parvula","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"18","Acalypta parvula","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"19","Acalypta platycheila","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"20","Acalypta platycheila","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"21","Acalypta platycheila","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"22","Acalypta platycheila","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"23","Acalypta platycheila","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"24","Acalypta platycheila","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"25","Acalypta platycheila","Feeding_tissue",1,"arthropod-species-traits","alexander-keller",2022-08-09
"26","Acalypta platycheila","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"27","Acalypta platycheila","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"28","Acalyptus carpini","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"29","Acalyptus carpini","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"30","Acalyptus carpini","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"31","Acalyptus carpini","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"32","Acalyptus carpini","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"33","Acalyptus carpini","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"34","Acalyptus carpini","Feeding_plant_part",1,"arthropod-species-traits","alexander-keller",2022-08-09
"35","Acalyptus carpini","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"36","Acalyptus carpini","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"37","Acanthodelphax denticauda","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"38","Acanthodelphax denticauda","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"39","Acanthodelphax denticauda","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"40","Acanthodelphax denticauda","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"41","Acanthodelphax denticauda","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"42","Acanthodelphax denticauda","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"43","Acanthodelphax denticauda","Feeding_tissue",1,"arthropod-species-traits","alexander-keller",2022-08-09
"44","Acanthodelphax denticauda","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"45","Acanthodelphax denticauda","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"46","Acanthodelphax spinosus","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"47","Acanthodelphax spinosus","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"48","Acanthodelphax spinosus","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"49","Acanthodelphax spinosus","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"50","Acanthodelphax spinosus","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"51","Acanthodelphax spinosus","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"52","Acanthodelphax spinosus","Feeding_tissue",1,"arthropod-species-traits","alexander-keller",2022-08-09
"53","Acanthodelphax spinosus","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"54","Acanthodelphax spinosus","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"55","Acetropis carinata","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"56","Acetropis carinata","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"57","Acetropis carinata","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"58","Acetropis carinata","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"59","Acetropis carinata","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"60","Acetropis carinata","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"61","Acetropis carinata","Feeding_tissue",1,"arthropod-species-traits","alexander-keller",2022-08-09
"62","Acetropis carinata","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"63","Acetropis carinata","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"64","Acrotona parvula","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"65","Acrotona parvula","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"66","Acrotona parvula","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"67","Acrotona parvula","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"68","Acrotona parvula","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"69","Acrotona parvula","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"70","Acrotona parvula","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
