person,personLabel,taxonNames,scholiaURL
http://www.wikidata.org/entity/Q91379318,Alana R O Chin,Cupressaceae | Picea sitchensis | Sequoia sempervirens,https://scholia.toolforge.org/author/Q91379318
http://www.wikidata.org/entity/Q21517397,Alexander Keller,Angiospermae | Apis mellifera | Arabidopsis thaliana | Bactrocera oleae | Chlorophyceae | Diptera | Hymenoptera | Lepidoptera | Lycaenidae | Osmia bicornis | Osmia cornifrons | Scenedesmaceae | Tephritidae | Vitis vinifera,https://scholia.toolforge.org/author/Q21517397
http://www.wikidata.org/entity/Q83487382,Alexandra J. R. Carthey,Acacia longifolia,https://scholia.toolforge.org/author/Q83487382
http://www.wikidata.org/entity/Q47503085,Anne Thessen,Bacillariophyceae | Crassostrea virginica | Dinoflagellata,https://scholia.toolforge.org/author/Q47503085
http://www.wikidata.org/entity/Q59062025,Anton Potapov,Ablemma | Acerentomon | Oonopidae | Tetrablemmidae,https://scholia.toolforge.org/author/Q59062025
http://www.wikidata.org/entity/Q96096151,Aud H. Halbritter,Brachypodium sylvaticum | Ranunculus acris,https://scholia.toolforge.org/author/Q96096151
http://www.wikidata.org/entity/Q88822144,Belén Fadrique,Poaceae,https://scholia.toolforge.org/author/Q88822144
http://www.wikidata.org/entity/Q90744779,Brad Boyle,Embryophytes,https://scholia.toolforge.org/author/Q90744779
http://www.wikidata.org/entity/Q47172478,Brian J. Enquist,Angiospermae | Arabidopsis thaliana | Asteraceae | Bursera simaruba | Dinosauria | Embryophytes | Prokaryota | Spermatophytes | Tracheophytes,https://scholia.toolforge.org/author/Q47172478
http://www.wikidata.org/entity/Q89748248,Brian S. Maitner,Aves | Embryophytes,https://scholia.toolforge.org/author/Q89748248
http://www.wikidata.org/entity/Q104006568,Carlos Alberto Martínez-Muñoz,Buthidae | Chilopoda | Coleoptera | Dasongius | Pauropodidae | Rhopalurus | Scolopendridae | Scolopocryptopidae | Scolopocryptops | Scorpiones | Tenebrionidae,https://scholia.toolforge.org/author/Q104006568
http://www.wikidata.org/entity/Q56433897,Caterina Penone,Arthropoda | Orthoptera | Senecio inaequidens,https://scholia.toolforge.org/author/Q56433897
http://www.wikidata.org/entity/Q56755531,Colleen M. Iversen,Sphagnum fallax,https://scholia.toolforge.org/author/Q56755531
http://www.wikidata.org/entity/Q89735684,Cyrille Violle,Arabidopsis thaliana | Dactylis glomerata | Embryophytes,https://scholia.toolforge.org/author/Q89735684
http://www.wikidata.org/entity/Q56441522,Dalia A. Conde,Carnivora | Eukaryota | Passeri | Psittaciformes,https://scholia.toolforge.org/author/Q56441522
http://www.wikidata.org/entity/Q56755459,Daniel Falster,Angiospermae | Proteaceae,https://scholia.toolforge.org/author/Q56755459
http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,Araucaria | Atocetus | Belemnitella | Chilopoda | Elephas maximus | Epiblema scudderiana | Eupolybothrus cavernicolus | Eurosta solidaginis | Gonioteuthis | Gonioteuthis quadrata | Hibolithes jaculoides | Hymenoptera | Insecta | Lithobiidae | Lithobiomorpha | Lubomirskia bakialensis | Neoclavibelus subclavatus | Zika virus | Pinnipedia | Saccharomyces cerevisiae | Severe acute respiratory syndrome-related coronavirus | Xenopus laevis,https://scholia.toolforge.org/author/Q20895785
http://www.wikidata.org/entity/Q56433461,Daniel S. Park,Embryophytes,https://scholia.toolforge.org/author/Q56433461
http://www.wikidata.org/entity/Q55807645,David B. Roy,Argynnis adippe | Bryophytes | Coccinellidae | Harmonia axyridis | Insecta | Odonata | Papilionoidea | Polyommatus coridon | Tracheophytes,https://scholia.toolforge.org/author/Q55807645
http://www.wikidata.org/entity/Q59691546,Diogo Borges Provete,Amphibia | Anura | Bokermannohyla ahenea | Coleodactylus meridionalis | Crossodactylus caramaschii | Hylidae | Hylodidae | Hypsiboas albopunctatus | Leiuperidae | Odontophrynidae | Physalaemus barrioi | Physalaemus jordanensis | Physalaemus moreirae | Proceratophrys mantiqueira | Proceratophrys melanopogon | Sphaerodactylidae | Squamata | Trachycephalus imitatrix,https://scholia.toolforge.org/author/Q59691546
http://www.wikidata.org/entity/Q56335788,Dylan J. Craven,Acacia koa | Lumbricidae,https://scholia.toolforge.org/author/Q56335788
http://www.wikidata.org/entity/Q88172687,Fatih Fazlioglu,Laguncularia racemosa | Plantago lanceolata | Trifolium repens,https://scholia.toolforge.org/author/Q88172687
http://www.wikidata.org/entity/Q51121153,Franziska Schrodt,Spermatophytes | Ulmus americana,https://scholia.toolforge.org/author/Q51121153
http://www.wikidata.org/entity/Q53913686,Heloise Gibb,Coleoptera | Formica aquilonia | Formicidae | Hemiptera | Hymenoptera | Ips typographus | Iridomyrmex purpureus | Myrmecobiidae | Myrmecobius fasciatus | Rhinella marina | Scotia | Talitridae,https://scholia.toolforge.org/author/Q53913686
