person,personLabel,traitLabels,scholiaURL
http://www.wikidata.org/entity/Q83487382,Alexandra J. R. Carthey,animal trait,https://scholia.toolforge.org/author/Q83487382
http://www.wikidata.org/entity/Q96096151,Aud H. Halbritter,plant trait,https://scholia.toolforge.org/author/Q96096151
http://www.wikidata.org/entity/Q88822144,Belén Fadrique,functional trait,https://scholia.toolforge.org/author/Q88822144
http://www.wikidata.org/entity/Q56457776,Ben Sparrow,plant trait | functional trait,https://scholia.toolforge.org/author/Q56457776
http://www.wikidata.org/entity/Q90744779,Brad Boyle,plant trait | functional trait,https://scholia.toolforge.org/author/Q90744779
http://www.wikidata.org/entity/Q47172478,Brian J. Enquist,plant trait | ecological trait | functional trait,https://scholia.toolforge.org/author/Q47172478
http://www.wikidata.org/entity/Q89748248,Brian S. Maitner,plant trait,https://scholia.toolforge.org/author/Q89748248
http://www.wikidata.org/entity/Q57640961,Brunno Freire Oliveira,ecological trait,https://scholia.toolforge.org/author/Q57640961
http://www.wikidata.org/entity/Q56433897,Caterina Penone,ecological trait | life-history trait,https://scholia.toolforge.org/author/Q56433897
http://www.wikidata.org/entity/Q89748252,Catherine H Bravo-Avila,functional trait,https://scholia.toolforge.org/author/Q89748252
http://www.wikidata.org/entity/Q56755531,Colleen M. Iversen,plant trait | functional trait,https://scholia.toolforge.org/author/Q56755531
http://www.wikidata.org/entity/Q92348703,Courtenay A Ray,functional trait | plant trait,https://scholia.toolforge.org/author/Q92348703
http://www.wikidata.org/entity/Q89735684,Cyrille Violle,plant trait | functional trait | life-history trait | morphological trait,https://scholia.toolforge.org/author/Q89735684
http://www.wikidata.org/entity/Q56755459,Daniel Falster,plant trait | animal trait | functional trait,https://scholia.toolforge.org/author/Q56755459
http://www.wikidata.org/entity/Q56433461,Daniel S. Park,animal trait,https://scholia.toolforge.org/author/Q56433461
http://www.wikidata.org/entity/Q55807645,David B. Roy,plant trait,https://scholia.toolforge.org/author/Q55807645
http://www.wikidata.org/entity/Q56335788,Dylan J. Craven,plant trait | functional trait,https://scholia.toolforge.org/author/Q56335788
http://www.wikidata.org/entity/Q113106520,Eveliina P. Kallioniemi,life-history trait,https://scholia.toolforge.org/author/Q113106520
http://www.wikidata.org/entity/Q88172687,Fatih Fazlioglu,plant trait,https://scholia.toolforge.org/author/Q88172687
http://www.wikidata.org/entity/Q56576262,Florian Dirk Schneider,ecological trait,https://scholia.toolforge.org/author/Q56576262
http://www.wikidata.org/entity/Q51121153,Franziska Schrodt,plant trait | functional trait | metabolic trait,https://scholia.toolforge.org/author/Q51121153
http://www.wikidata.org/entity/Q53913686,Heloise Gibb,functional trait | morphological trait,https://scholia.toolforge.org/author/Q53913686
http://www.wikidata.org/entity/Q19001730,Hervé Sauquet,plant trait | dispersal trait,https://scholia.toolforge.org/author/Q19001730
http://www.wikidata.org/entity/Q36585112,Ian J. Wright,plant trait | animal trait | functional trait,https://scholia.toolforge.org/author/Q36585112
http://www.wikidata.org/entity/Q43148086,Ignasi Bartomeus,ecological trait | plant trait,https://scholia.toolforge.org/author/Q43148086
http://www.wikidata.org/entity/Q57296572,J. Aaron Hogan,functional trait | plant trait,https://scholia.toolforge.org/author/Q57296572
http://www.wikidata.org/entity/Q39186568,Jacintha Ellers,sexual trait | behavioral trait | functional trait | life-history trait | metabolic trait,https://scholia.toolforge.org/author/Q39186568
