date,event,eventLabel,person,personLabel,eventUrl,roles,locations
2024-07-21,http://www.wikidata.org/entity/Q126728283,XX International Botanical Congress,http://www.wikidata.org/entity/Q62558788,Rachael V. Gallagher,https://scholia.toolforge.org/event/Q126728283,speaker,Madrid
2024-06-05,http://www.wikidata.org/entity/Q126366526,1st International Conference on Recent Advances in Robust Argumentation Machines,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q126366526,participant,CITEC
2024-02-26,http://www.wikidata.org/entity/Q124669329,SWAT4HCLS 2024,http://www.wikidata.org/entity/Q41566708,Jennifer A Hammock,https://scholia.toolforge.org/event/Q124669329,speaker,Leiden
2023-11-13,http://www.wikidata.org/entity/Q124619134,Wikidata Workshop 2023,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q124619134,author,Athens
2023-09-25,http://www.wikidata.org/entity/Q122643579,Annual Conference 2023 of the German Mathematical Society,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q122643579,speaker,Festhalle Ilmenau | Technische Universität Ilmenau
2023-05-11,http://www.wikidata.org/entity/Q114794722,Wiki Workshop 2023,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q114794722,author,
2023-04-30,http://www.wikidata.org/entity/Q117087505,The first international Workshop on Knowledge Graphs for Sustainability,http://www.wikidata.org/entity/Q47503085,Anne Thessen,https://scholia.toolforge.org/event/Q117087505,program committee member,AT&T Hotel & Conference Center
2023-03-29,http://www.wikidata.org/entity/Q117322425,CitSci Helvetia'23,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q117322425,participant,Landhaus
2022-12-05,http://www.wikidata.org/entity/Q115620549,"Winter 2022 Workshop on Prefixes, CURIEs, and IRIs",http://www.wikidata.org/entity/Q28368079,Melissa Haendel,https://scholia.toolforge.org/event/Q115620549,participant,
2022-12-05,http://www.wikidata.org/entity/Q115620549,"Winter 2022 Workshop on Prefixes, CURIEs, and IRIs",http://www.wikidata.org/entity/Q59763318,Meghan Balk,https://scholia.toolforge.org/event/Q115620549,participant,
2022-10-23,http://www.wikidata.org/entity/Q109296593,The 21th International Semantic Web Conference,http://www.wikidata.org/entity/Q56556463,Jens Kattge,https://scholia.toolforge.org/event/Q109296593,author,Hangzhou
2022-10-23,http://www.wikidata.org/entity/Q115053048,"ISWC 2022 Posters, Demos and Industry Tracks: From Novel Ideas to Industrial Practice",http://www.wikidata.org/entity/Q56556463,Jens Kattge,https://scholia.toolforge.org/event/Q115053048,author,virtual event
2022-10-17,http://www.wikidata.org/entity/Q111972123,TDWG 2022,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q111972123,participant,online | Sofia
2022-10-17,http://www.wikidata.org/entity/Q111972123,TDWG 2022,http://www.wikidata.org/entity/Q63834511,Teresa Mayfield-Meyer,https://scholia.toolforge.org/event/Q111972123,participant,online | Sofia
2022-10-17,http://www.wikidata.org/entity/Q111972123,TDWG 2022,http://www.wikidata.org/entity/Q91413286,Katelin D. Pearson,https://scholia.toolforge.org/event/Q111972123,participant,online | Sofia
2022-10-17,http://www.wikidata.org/entity/Q111972123,TDWG 2022,http://www.wikidata.org/entity/Q104006568,Carlos Alberto Martínez-Muñoz,https://scholia.toolforge.org/event/Q111972123,participant,online | Sofia
2022-08-08,http://www.wikidata.org/entity/Q113487331,sDevTraits Workshop 2022,http://www.wikidata.org/entity/Q21517397,Alexander Keller,https://scholia.toolforge.org/event/Q113487331,organizer | participant,German Centre for Integrative Biodiversity Research | online
2022-08-08,http://www.wikidata.org/entity/Q113487331,sDevTraits Workshop 2022,http://www.wikidata.org/entity/Q29076435,Markus Ankenbrand,https://scholia.toolforge.org/event/Q113487331,organizer | participant,German Centre for Integrative Biodiversity Research | online
2022-08-08,http://www.wikidata.org/entity/Q113487331,sDevTraits Workshop 2022,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q113487331,participant,German Centre for Integrative Biodiversity Research | online
2022-08-08,http://www.wikidata.org/entity/Q113487331,sDevTraits Workshop 2022,http://www.wikidata.org/entity/Q41566708,Jennifer A Hammock,https://scholia.toolforge.org/event/Q113487331,participant,German Centre for Integrative Biodiversity Research | online
2022-08-08,http://www.wikidata.org/entity/Q113487331,sDevTraits Workshop 2022,http://www.wikidata.org/entity/Q56433897,Caterina Penone,https://scholia.toolforge.org/event/Q113487331,participant,German Centre for Integrative Biodiversity Research | online
2022-08-08,http://www.wikidata.org/entity/Q113487331,sDevTraits Workshop 2022,http://www.wikidata.org/entity/Q56556463,Jens Kattge,https://scholia.toolforge.org/event/Q113487331,participant,German Centre for Integrative Biodiversity Research | online
2022-08-08,http://www.wikidata.org/entity/Q113487331,sDevTraits Workshop 2022,http://www.wikidata.org/entity/Q58206618,Jorrit Poelen,https://scholia.toolforge.org/event/Q113487331,participant,German Centre for Integrative Biodiversity Research | online
2022-08-08,http://www.wikidata.org/entity/Q113487331,sDevTraits Workshop 2022,http://www.wikidata.org/entity/Q85683771,Stefanie Dekeyzer,https://scholia.toolforge.org/event/Q113487331,participant,German Centre for Integrative Biodiversity Research | online
2022-08-08,http://www.wikidata.org/entity/Q113487331,sDevTraits Workshop 2022,http://www.wikidata.org/entity/Q89748248,Brian S. Maitner,https://scholia.toolforge.org/event/Q113487331,participant,German Centre for Integrative Biodiversity Research | online
2022-03-16,http://www.wikidata.org/entity/Q111172375,Scholia and use of scholarly data,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q111172375,speaker,
2022-01-01,http://www.wikidata.org/entity/Q109407979,15th Annual Biocuration Conference (2022),http://www.wikidata.org/entity/Q28368079,Melissa Haendel,https://scholia.toolforge.org/event/Q109407979,participant,
2021-10-29,http://www.wikidata.org/entity/Q73768833,WikidataCon 2021,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q73768833,speaker,online event
2021-10-29,http://www.wikidata.org/entity/Q109302693,"Fall 2021 Workshop on Prefixes, CURIEs, and IRIs",http://www.wikidata.org/entity/Q28368079,Melissa Haendel,https://scholia.toolforge.org/event/Q109302693,participant,
2021-09-14,http://www.wikidata.org/entity/Q108544405,COB: Core Ontology for Biology and Biomedicine 2021 Workshop,http://www.wikidata.org/entity/Q47503085,Anne Thessen,https://scholia.toolforge.org/event/Q108544405,participant,Bolzano
2021-09-03,http://www.wikidata.org/entity/Q108394519,1st Mapping Commons Workshop on Simple Standard for Sharing Ontology Mappings,http://www.wikidata.org/entity/Q28368079,Melissa Haendel,https://scholia.toolforge.org/event/Q108394519,participant,
2021-07-14,http://www.wikidata.org/entity/Q107527264,Workshop on Synergizing Biomedical Ontologies 2021,http://www.wikidata.org/entity/Q28368079,Melissa Haendel,https://scholia.toolforge.org/event/Q107527264,speaker,Internet
2021-07-12,http://www.wikidata.org/entity/Q107503241,SORTEE Conference 2021,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q107503241,speaker,online
2020-11-09,http://www.wikidata.org/entity/Q109422856,BioHackathon Europe 2020,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q109422856,author,
2020-10-26,http://www.wikidata.org/entity/Q100741900,WikiCite 2020 Virtual conference,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q100741900,speaker | participant,online
2020-10-26,http://www.wikidata.org/entity/Q100921051,neuromatch 3,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q100921051,speaker,online
2020-10-12,http://www.wikidata.org/entity/Q99439685,JupyterCon 2020,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q99439685,speaker,online
2020-09-09,http://www.wikidata.org/entity/Q98918134,Workshop On Open Citations And Open Scholarly Metadata 2020,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q98918134,speaker | participant,University of Bologna | online
2020-08-20,http://www.wikidata.org/entity/Q98457439,Workshop on Data Science in Climate and Climate Impact Research,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q98457439,speaker | participant,ETH Zurich | online
2020-02-13,http://www.wikidata.org/entity/Q84943795,Cost MOBILISE Wikidata Workshop 2020,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q84943795,speaker,University of Warsaw
2019-06-24,http://www.wikidata.org/entity/Q64796909,Incentivizing Collaboration: accelerating research outcomes through collaborative and open science practices,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q64796909,participant,Milken Institute School of Public Health
2019-06-02,http://www.wikidata.org/entity/Q59620529,ESWC 2019,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q59620529,author,Grand Hotel Bernardin
2019-05-14,http://www.wikidata.org/entity/Q63828174,Persistent Identifiers in biodiversity data life cycle,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q63828174,participant,University of Tartu
2019-05-14,http://www.wikidata.org/entity/Q63828174,Persistent Identifiers in biodiversity data life cycle,http://www.wikidata.org/entity/Q63834511,Teresa Mayfield-Meyer,https://scholia.toolforge.org/event/Q63828174,participant,University of Tartu
2019-01-18,http://www.wikidata.org/entity/Q59426297,Workshop on Data Quality Management in Wikidata,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q59426297,speaker,Tempelhofer Ufer 23–24
2018-11-27,http://www.wikidata.org/entity/Q55117737,WikiCite 2018,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q55117737,speaker | organizer,David Brower Center
