taxonId,taxonName,people,scholiaURL
http://www.wikidata.org/entity/Q5263660,Ablemma,Anton Potapov,https://scholia.toolforge.org/organization/Q112326635/topic/Q5263660
http://www.wikidata.org/entity/Q1777801,Acacia koa,Dylan J. Craven,https://scholia.toolforge.org/organization/Q112326635/topic/Q1777801
http://www.wikidata.org/entity/Q2701053,Acacia longifolia,Alexandra J. R. Carthey | Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q2701053
http://www.wikidata.org/entity/Q156944,Acer pseudoplatanus,Vigdis Vandvik,https://scholia.toolforge.org/organization/Q112326635/topic/Q156944
http://www.wikidata.org/entity/Q4548002,Acerentomon,Anton Potapov,https://scholia.toolforge.org/organization/Q112326635/topic/Q4548002
http://www.wikidata.org/entity/Q7618284,Acrididae,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q7618284
http://www.wikidata.org/entity/Q116667,Acridotheres tristis,Ignasi Bartomeus,https://scholia.toolforge.org/organization/Q112326635/topic/Q116667
http://www.wikidata.org/entity/Q147256,Actiniaria,Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q147256
http://www.wikidata.org/entity/Q343300,Actinidia deliciosa,Ignasi Bartomeus,https://scholia.toolforge.org/organization/Q112326635/topic/Q343300
http://www.wikidata.org/entity/Q310911,Aedes,Sadie J. Ryan,https://scholia.toolforge.org/organization/Q112326635/topic/Q310911
http://www.wikidata.org/entity/Q1148004,Aedes aegypti,Michael Ray Kearney | Sadie J. Ryan,https://scholia.toolforge.org/organization/Q112326635/topic/Q1148004
http://www.wikidata.org/entity/Q2717846,Albizia lebbeck,Sharif Ahmed Mukul,https://scholia.toolforge.org/organization/Q112326635/topic/Q2717846
http://www.wikidata.org/entity/Q1070483,Alouatta palliata,Sadie J. Ryan,https://scholia.toolforge.org/organization/Q112326635/topic/Q1070483
http://www.wikidata.org/entity/Q1948607,Amblyomma americanum,Marko J. Spasojevic,https://scholia.toolforge.org/organization/Q112326635/topic/Q1948607
http://www.wikidata.org/entity/Q10908,Amphibia,Diogo Borges Provete,https://scholia.toolforge.org/organization/Q112326635/topic/Q10908
http://www.wikidata.org/entity/Q2112248,Andropogon gayanus,Vanessa M. Adams,https://scholia.toolforge.org/organization/Q112326635/topic/Q2112248
http://www.wikidata.org/entity/Q25314,Angiospermae,Hervé Sauquet | Ian J. Wright | Jens Kattge | Maribeth Latvis | Mark Westoby | William D. Pearse | Roberto Salguero-Gómez,https://scholia.toolforge.org/organization/Q112326635/topic/Q25314
http://www.wikidata.org/entity/Q1709343,Annona muricata,Hervé Sauquet,https://scholia.toolforge.org/organization/Q112326635/topic/Q1709343
http://www.wikidata.org/entity/Q13853909,Anopheles arabiensis,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q13853909
http://www.wikidata.org/entity/Q13853899,Anopheles funestus,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q13853899
http://www.wikidata.org/entity/Q28524,Anthozoa,Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q28524
http://www.wikidata.org/entity/Q311521,Antigonon leptopus,Jacintha Ellers,https://scholia.toolforge.org/organization/Q112326635/topic/Q311521
http://www.wikidata.org/entity/Q4514043,Antromysis cenotensis,Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q4514043
http://www.wikidata.org/entity/Q53636,Anura,Renee A. Catullo | Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q53636
http://www.wikidata.org/entity/Q30034,Apis mellifera,Alexander Keller | Ignasi Bartomeus | Markus Ankenbrand | Samuel C. Andrew,https://scholia.toolforge.org/organization/Q112326635/topic/Q30034
http://www.wikidata.org/entity/Q161829,Aptenodytes forsteri,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q161829
http://www.wikidata.org/entity/Q158695,Arabidopsis thaliana,Alexander Keller | Brian J. Enquist | Cyrille Violle,https://scholia.toolforge.org/organization/Q112326635/topic/Q158695
http://www.wikidata.org/entity/Q1358,Arachnida,Steven L. Chown | Stefano Mammola,https://scholia.toolforge.org/organization/Q112326635/topic/Q1358
http://www.wikidata.org/entity/Q1357,Araneae,Stefano Mammola,https://scholia.toolforge.org/organization/Q112326635/topic/Q1357
http://www.wikidata.org/entity/Q157214,Araucaria,Daniel Mietchen,https://scholia.toolforge.org/organization/Q112326635/topic/Q157214
http://www.wikidata.org/entity/Q119699,Argynnis adippe,David B. Roy,https://scholia.toolforge.org/organization/Q112326635/topic/Q119699
http://www.wikidata.org/entity/Q207848,Arnica montana,Vigdis Vandvik,https://scholia.toolforge.org/organization/Q112326635/topic/Q207848
http://www.wikidata.org/entity/Q1360,Arthropoda,Caterina Penone | Jennifer C. Girón | Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q1360
http://www.wikidata.org/entity/Q25400,Asteraceae,Brian J. Enquist | Jonas J. Lembrechts,https://scholia.toolforge.org/organization/Q112326635/topic/Q25400
http://www.wikidata.org/entity/Q19720723,Atocetus,Daniel Mietchen,https://scholia.toolforge.org/organization/Q112326635/topic/Q19720723
http://www.wikidata.org/entity/Q99219105,Austropuccinia psidii,Ian J. Wright,https://scholia.toolforge.org/organization/Q112326635/topic/Q99219105
http://www.wikidata.org/entity/Q5113,Aves,Brian S. Maitner | Joseph A Tobias,https://scholia.toolforge.org/organization/Q112326635/topic/Q5113
http://www.wikidata.org/entity/Q4832845,Azorella selago,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q4832845
http://www.wikidata.org/entity/Q614156,Bacillus anthracis,Sadie J. Ryan,https://scholia.toolforge.org/organization/Q112326635/topic/Q614156
http://www.wikidata.org/entity/Q2207329,Bactrocera oleae,Alexander Keller,https://scholia.toolforge.org/organization/Q112326635/topic/Q2207329
http://www.wikidata.org/entity/Q4840066,Bactrocera tryoni,Renee A. Catullo,https://scholia.toolforge.org/organization/Q112326635/topic/Q4840066
http://www.wikidata.org/entity/Q4119899,Belemnitella,Daniel Mietchen,https://scholia.toolforge.org/organization/Q112326635/topic/Q4119899
http://www.wikidata.org/entity/Q4164940,Betta,Paula M. Mabee,https://scholia.toolforge.org/organization/Q112326635/topic/Q4164940
http://www.wikidata.org/entity/Q549,Betta splendens,Paula M. Mabee,https://scholia.toolforge.org/organization/Q112326635/topic/Q549
http://www.wikidata.org/entity/Q2382443,Biota,Michael Ray Kearney | Ralf B. Schäfer | Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q2382443
http://www.wikidata.org/entity/Q82728,Bison bison,Sadie J. Ryan,https://scholia.toolforge.org/organization/Q112326635/topic/Q82728
http://www.wikidata.org/entity/Q1906239,Blaesodactylus,Ian G. Brennan,https://scholia.toolforge.org/organization/Q112326635/topic/Q1906239
http://www.wikidata.org/entity/Q2705683,Bokermannohyla ahenea,Diogo Borges Provete,https://scholia.toolforge.org/organization/Q112326635/topic/Q2705683
http://www.wikidata.org/entity/Q3758291,Bollmannia boqueronensis,Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q3758291
http://www.wikidata.org/entity/Q752274,Bombus terrestris,Ignasi Bartomeus,https://scholia.toolforge.org/organization/Q112326635/topic/Q752274
http://www.wikidata.org/entity/Q2723634,Borrelia burgdorferi,Xiao Feng,https://scholia.toolforge.org/organization/Q112326635/topic/Q2723634
http://www.wikidata.org/entity/Q1188694,Brachypodium sylvaticum,Aud H. Halbritter,https://scholia.toolforge.org/organization/Q112326635/topic/Q1188694
http://www.wikidata.org/entity/Q896734,Braconidae,Katja Seltmann,https://scholia.toolforge.org/organization/Q112326635/topic/Q896734
http://www.wikidata.org/entity/Q146212,Brassica oleracea,Jacintha Ellers,https://scholia.toolforge.org/organization/Q112326635/topic/Q146212
http://www.wikidata.org/entity/Q25117580,Brassica rapa var. chinensis,Ignasi Bartomeus,https://scholia.toolforge.org/organization/Q112326635/topic/Q25117580
http://www.wikidata.org/entity/Q156888,Brassicaceae,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q156888
http://www.wikidata.org/entity/Q164698,Bursera simaruba,Brian J. Enquist,https://scholia.toolforge.org/organization/Q112326635/topic/Q164698
http://www.wikidata.org/entity/Q26615,Calluna vulgaris,Vigdis Vandvik,https://scholia.toolforge.org/organization/Q112326635/topic/Q26615
http://www.wikidata.org/entity/Q27046,Carabidae,William D. Pearse,https://scholia.toolforge.org/organization/Q112326635/topic/Q27046
http://www.wikidata.org/entity/Q163873,Carcharocles megalodon,Meghan Balk,https://scholia.toolforge.org/organization/Q112326635/topic/Q163873
http://www.wikidata.org/entity/Q25306,Carnivora,Dalia A. Conde,https://scholia.toolforge.org/organization/Q112326635/topic/Q25306
http://www.wikidata.org/entity/Q142697,Carpiodes cyprinus,Paula M. Mabee,https://scholia.toolforge.org/organization/Q112326635/topic/Q142697
http://www.wikidata.org/entity/Q2942992,Catostomus commersonii,Paula M. Mabee,https://scholia.toolforge.org/organization/Q112326635/topic/Q2942992
http://www.wikidata.org/entity/Q250269,Ceratitis capitata,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q250269
http://www.wikidata.org/entity/Q245695,Ceriantharia,Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q245695
http://www.wikidata.org/entity/Q15794049,Chikungunya virus,Sadie J. Ryan | Sandra M Durán,https://scholia.toolforge.org/organization/Q112326635/topic/Q15794049
http://www.wikidata.org/entity/Q43447,Chilopoda,Daniel Mietchen,https://scholia.toolforge.org/organization/Q112326635/topic/Q43447
http://www.wikidata.org/entity/Q303019,Chionis minor,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q303019
http://www.wikidata.org/entity/Q5114539,Chrysanthemoides monilifera,Rachael V. Gallagher,https://scholia.toolforge.org/organization/Q112326635/topic/Q5114539
http://www.wikidata.org/entity/Q25441,Cnidaria,Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q25441
http://www.wikidata.org/entity/Q1260859,Cnipodectes superrufus,Joseph A Tobias,https://scholia.toolforge.org/organization/Q112326635/topic/Q1260859
http://www.wikidata.org/entity/Q2982442,Coleodactylus meridionalis,Diogo Borges Provete,https://scholia.toolforge.org/organization/Q112326635/topic/Q2982442
http://www.wikidata.org/entity/Q22671,Coleoptera,Carlos Alberto Martínez-Muñoz | Heloise Gibb | Jennifer C. Girón | Steven L. Chown | Wilco C.E.P. Verberk,https://scholia.toolforge.org/organization/Q112326635/topic/Q22671
http://www.wikidata.org/entity/Q1729340,Condylactis gigantea,Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q1729340
http://www.wikidata.org/entity/Q1499582,Corallimorpharia,Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q1499582
http://www.wikidata.org/entity/Q1883674,Crambe crambe,Sandra M Durán,https://scholia.toolforge.org/organization/Q112326635/topic/Q1883674
http://www.wikidata.org/entity/Q468415,Crassostrea virginica,Anne Thessen,https://scholia.toolforge.org/organization/Q112326635/topic/Q468415
http://www.wikidata.org/entity/Q2237667,Crossodactylus caramaschii,Diogo Borges Provete,https://scholia.toolforge.org/organization/Q112326635/topic/Q2237667
http://www.wikidata.org/entity/Q1707304,Cryptopygus antarcticus,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q1707304
http://www.wikidata.org/entity/Q7415384,Curculionidae,Jennifer C. Girón | Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q7415384
http://www.wikidata.org/entity/Q2294077,Cymodocea nodosa,Stefania L. Klayn,https://scholia.toolforge.org/organization/Q112326635/topic/Q2294077
http://www.wikidata.org/entity/Q161735,Dactylis glomerata,Cyrille Violle,https://scholia.toolforge.org/organization/Q112326635/topic/Q161735
http://www.wikidata.org/entity/Q1982643,Damon annulatipes,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q1982643
http://www.wikidata.org/entity/Q169444,Danio rerio,Melissa Haendel | Paula M. Mabee,https://scholia.toolforge.org/organization/Q112326635/topic/Q169444
http://www.wikidata.org/entity/Q672531,Daphnia magna,Wilco C.E.P. Verberk,https://scholia.toolforge.org/organization/Q112326635/topic/Q672531
http://www.wikidata.org/entity/Q21218698,Dasongius,Carlos Alberto Martínez-Muñoz,https://scholia.toolforge.org/organization/Q112326635/topic/Q21218698
http://www.wikidata.org/entity/Q47867,Dasypodidae,Xiao Feng,https://scholia.toolforge.org/organization/Q112326635/topic/Q47867
http://www.wikidata.org/entity/Q649549,Dasypus novemcinctus,Xiao Feng,https://scholia.toolforge.org/organization/Q112326635/topic/Q649549
http://www.wikidata.org/entity/Q248530,Demospongiae,Nuno Simões | Sandra M Durán,https://scholia.toolforge.org/organization/Q112326635/topic/Q248530
http://www.wikidata.org/entity/Q476209,Dengue virus,Michael Ray Kearney | Sadie J. Ryan | Sandra M Durán,https://scholia.toolforge.org/organization/Q112326635/topic/Q476209
http://www.wikidata.org/entity/Q430,Dinosauria,Brian J. Enquist,https://scholia.toolforge.org/organization/Q112326635/topic/Q430
http://www.wikidata.org/entity/Q25312,Diptera,Steven L. Chown | Renee A. Catullo,https://scholia.toolforge.org/organization/Q112326635/topic/Q25312
http://www.wikidata.org/entity/Q671516,Dixonius,Ian G. Brennan,https://scholia.toolforge.org/organization/Q112326635/topic/Q671516
http://www.wikidata.org/entity/Q602043,Doryctinae,Katja Seltmann,https://scholia.toolforge.org/organization/Q112326635/topic/Q602043
http://www.wikidata.org/entity/Q312154,Drosophila,Jacintha Ellers | Michael Ray Kearney,https://scholia.toolforge.org/organization/Q112326635/topic/Q312154
http://www.wikidata.org/entity/Q130888,Drosophila melanogaster,Renee A. Catullo,https://scholia.toolforge.org/organization/Q112326635/topic/Q130888
http://www.wikidata.org/entity/Q44631,Echinodermata,Sandra M Durán,https://scholia.toolforge.org/organization/Q112326635/topic/Q44631
http://www.wikidata.org/entity/Q5353104,Elaeocarpus williamsianus,Maurizio Rossetto,https://scholia.toolforge.org/organization/Q112326635/topic/Q5353104
http://www.wikidata.org/entity/Q186554,Elapidae,Ian G. Brennan,https://scholia.toolforge.org/organization/Q112326635/topic/Q186554
http://www.wikidata.org/entity/Q133006,Elephas maximus,Daniel Mietchen,https://scholia.toolforge.org/organization/Q112326635/topic/Q133006
http://www.wikidata.org/entity/Q192154,Embryophyta,Brad Boyle | Brian J. Enquist | Brian S. Maitner | Cyrille Violle | Daniel S. Park | Ian J. Wright | Mark Westoby | Xiao Feng,https://scholia.toolforge.org/organization/Q112326635/topic/Q192154
http://www.wikidata.org/entity/Q1932939,Entiminae,Jennifer C. Girón,https://scholia.toolforge.org/organization/Q112326635/topic/Q1932939
http://www.wikidata.org/entity/Q13609268,Epiblema scudderiana,Daniel Mietchen,https://scholia.toolforge.org/organization/Q112326635/topic/Q13609268
http://www.wikidata.org/entity/Q25334,Erithacus rubecula,Joseph A Tobias,https://scholia.toolforge.org/organization/Q112326635/topic/Q25334
http://www.wikidata.org/entity/Q162822,Eucalyptus camaldulensis,Ian J. Wright,https://scholia.toolforge.org/organization/Q112326635/topic/Q162822
http://www.wikidata.org/entity/Q127341,Eucarida,Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q127341
http://www.wikidata.org/entity/Q19088,Eukaryota,Dalia A. Conde | Wilco C.E.P. Verberk,https://scholia.toolforge.org/organization/Q112326635/topic/Q19088
http://www.wikidata.org/entity/Q156584,Euphorbiaceae,William Farfan-Rios,https://scholia.toolforge.org/organization/Q112326635/topic/Q156584
http://www.wikidata.org/entity/Q16752956,Eupolybothrus cavernicolus,Daniel Mietchen,https://scholia.toolforge.org/organization/Q112326635/topic/Q16752956
http://www.wikidata.org/entity/Q13626320,Eurosta solidaginis,Daniel Mietchen,https://scholia.toolforge.org/organization/Q112326635/topic/Q13626320
http://www.wikidata.org/entity/Q44448,Fabaceae,Sandra M Durán,https://scholia.toolforge.org/organization/Q112326635/topic/Q44448
http://www.wikidata.org/entity/Q899672,Fallopia japonica,Ramona L Walls,https://scholia.toolforge.org/organization/Q112326635/topic/Q899672
http://www.wikidata.org/entity/Q159702,Festuca rubra,Vigdis Vandvik,https://scholia.toolforge.org/organization/Q112326635/topic/Q159702
http://www.wikidata.org/entity/Q10497530,Folsomia candida,Jacintha Ellers,https://scholia.toolforge.org/organization/Q112326635/topic/Q10497530
http://www.wikidata.org/entity/Q1236258,Formica aquilonia,Heloise Gibb,https://scholia.toolforge.org/organization/Q112326635/topic/Q1236258
http://www.wikidata.org/entity/Q7386,Formicidae,Heloise Gibb,https://scholia.toolforge.org/organization/Q112326635/topic/Q7386
http://www.wikidata.org/entity/Q133679,Gammaridea,Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q133679
http://www.wikidata.org/entity/Q15872,Gekkonidae,Ian G. Brennan | Michael Ray Kearney,https://scholia.toolforge.org/organization/Q112326635/topic/Q15872
http://www.wikidata.org/entity/Q205256,Glossina,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q205256
http://www.wikidata.org/entity/Q58837344,Glossina morsitans morsitans,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q58837344
http://www.wikidata.org/entity/Q14601443,Glossina pallidipes,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q14601443
http://www.wikidata.org/entity/Q1008096,Gloydius shedaoensis,Michael Ray Kearney,https://scholia.toolforge.org/organization/Q112326635/topic/Q1008096
http://www.wikidata.org/entity/Q5581973,Gonioteuthis,Daniel Mietchen,https://scholia.toolforge.org/organization/Q112326635/topic/Q5581973
http://www.wikidata.org/entity/Q28946200,Gonioteuthis quadrata,Daniel Mietchen,https://scholia.toolforge.org/organization/Q112326635/topic/Q28946200
http://www.wikidata.org/entity/Q499627,Harmonia axyridis,David B. Roy,https://scholia.toolforge.org/organization/Q112326635/topic/Q499627
http://www.wikidata.org/entity/Q26371,Hemiptera,Heloise Gibb | Katja Seltmann | Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q26371
http://www.wikidata.org/entity/Q28946208,Hibolithes jaculoides,Daniel Mietchen,https://scholia.toolforge.org/organization/Q112326635/topic/Q28946208
http://www.wikidata.org/entity/Q2578911,Hippocampus erectus,Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q2578911
http://www.wikidata.org/entity/Q2857920,Histopona palaeolithica,Stefano Mammola,https://scholia.toolforge.org/organization/Q112326635/topic/Q2857920
http://www.wikidata.org/entity/Q839281,Hydrophilidae,Jennifer C. Girón,https://scholia.toolforge.org/organization/Q112326635/topic/Q839281
http://www.wikidata.org/entity/Q22651,Hymenoptera,Alexander Keller | Daniel Mietchen | Heloise Gibb | Katja Seltmann,https://scholia.toolforge.org/organization/Q112326635/topic/Q22651
http://www.wikidata.org/entity/Q2246059,Hyperolius marmoratus,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q2246059
http://www.wikidata.org/entity/Q1270845,Hypocnemis cantator,Joseph A Tobias,https://scholia.toolforge.org/organization/Q112326635/topic/Q1270845
http://www.wikidata.org/entity/Q1942674,Hypsiboas albopunctatus,Diogo Borges Provete,https://scholia.toolforge.org/organization/Q112326635/topic/Q1942674
http://www.wikidata.org/entity/Q1390,Insecta,Daniel Mietchen | David B. Roy | Ignasi Bartomeus | Jacintha Ellers | Jens Kattge | Katja Seltmann | Mark Westoby | Steven L. Chown | Vigdis Vandvik | Wilco C.E.P. Verberk,https://scholia.toolforge.org/organization/Q112326635/topic/Q1390
http://www.wikidata.org/entity/Q69608,Iridomyrmex purpureus,Heloise Gibb,https://scholia.toolforge.org/organization/Q112326635/topic/Q69608
http://www.wikidata.org/entity/Q27648,Knautia arvensis,Vigdis Vandvik,https://scholia.toolforge.org/organization/Q112326635/topic/Q27648
http://www.wikidata.org/entity/Q639089,Lagorchestes conspicillatus,Mark Westoby,https://scholia.toolforge.org/organization/Q112326635/topic/Q639089
http://www.wikidata.org/entity/Q332469,Lantana camara,Sharif Ahmed Mukul,https://scholia.toolforge.org/organization/Q112326635/topic/Q332469
http://www.wikidata.org/entity/Q1302181,Larinioides cornutus,Stefano Mammola,https://scholia.toolforge.org/organization/Q112326635/topic/Q1302181
http://www.wikidata.org/entity/Q2745156,Leidya distorta,Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q2745156
